instance_id,n,budget,density,seed,solver,p,sweeps,num_reads,shots,maxiter,best_bitstring,selected,energy,exact_energy,gap,success_prob,wall_time_sec,transpile_time_sec,qpu_seconds,gamma_beta,note
n4_k2_d0.5_seed4,4,2,0.5,4,SQA,,100.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.155,0.03450190000148723,,,,ok
n4_k2_d0.5_seed4,4,2,0.5,4,SQA,,1000.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.185,0.34028059999400284,,,,ok
n4_k2_d0.5_seed4,4,2,0.5,4,SQA,,5000.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.225,1.530446500000835,,,,ok
n4_k2_d0.5_seed4,4,2,0.5,4,QAOA_STATEVECTOR,1.0,,,none,60.0,1100,2,0.9225539945480108,0.9225539945480108,0.0,0.0058528967642551884,0.06885399999737274,,,"{""gammas"": [2.724185920573233], ""betas"": [0.3853997544041566]}",optimizer_fun=8.769628
n4_k2_d0.5_seed4,4,2,0.5,4,QAOA_STATEVECTOR,2.0,,,none,60.0,1100,2,0.9225539945480108,0.9225539945480108,0.0,0.09253351288586881,0.24986429999989923,,,"{""gammas"": [2.9507053189846975, 1.5410214331579524], ""betas"": [2.091914345117124, 0.2025614829105715]}",optimizer_fun=6.990249
n4_k2_d0.5_seed4,4,2,0.5,4,QAOA_SHOT_SIM,1.0,,,1024,60.0,1100,2,0.9225539945480108,0.9225539945480108,0.0,0.005859375,0.1410531000001356,,,"{""gammas"": [2.724185920573233], ""betas"": [0.3853997544041566]}",ok
n4_k2_d0.5_seed4,4,2,0.5,4,QAOA_SHOT_SIM,2.0,,,1024,60.0,1100,2,0.9225539945480108,0.9225539945480108,0.0,0.087890625,0.21212370000284864,,,"{""gammas"": [2.9507053189846975, 1.5410214331579524], ""betas"": [2.091914345117124, 0.2025614829105715]}",ok
n4_k2_d0.5_seed5,4,2,0.5,5,CPLEX_EXACT,,,,,,1001,2,0.4660571390066224,0.4660571390066224,0.0,1.0,0.26171729999623494,,,,ok
n4_k2_d0.5_seed5,4,2,0.5,5,SA,,100.0,200.0,,,1001,2,0.4660571390066277,0.4660571390066224,1.1434371608510064e-14,0.205,0.003228800000215415,,,,ok
n4_k2_d0.5_seed5,4,2,0.5,5,SA,,1000.0,200.0,,,1001,2,0.4660571390066277,0.4660571390066224,1.1434371608510064e-14,0.23,0.012224899997818284,,,,ok
